tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes
tt0032811,The Mortal Storm,The Mortal Storm,0,1940,100
tt0032842,Night Train to Munich,Night Train to Munich,0,1940,90
tt0032904,The Philadelphia Story,The Philadelphia Story,0,1940,112
tt0032910,Pinocchio,Pinocchio,0,1940,88
tt0032943,Pride and Prejudice,Pride and Prejudice,0,1940,118
tt0032976,Rebecca,Rebecca,0,1940,130
tt0032981,Remember the Night,Remember the Night,0,1939,94
tt0033022,Saps at Sea,Saps at Sea,0,1940,56
tt0033028,The Sea Hawk,The Sea Hawk,0,1940,127
tt0033045,The Shop Around the Corner,The Shop Around the Corner,0,1940,99
tt0033149,They Drive by Night,They Drive by Night,0,1940,95
tt0033152,The Thief of Bagdad,The Thief of Bagdad,0,1940,106
tt0033238,Waterloo Bridge,Waterloo Bridge,0,1940,108
tt0033253,The Westerner,The Westerner,0,1940,100
tt0033317,Adventures of Captain Marvel,Adventures of Captain Marvel,0,1941,216
tt0033373,Ball of Fire,Ball of Fire,0,1941,111
tt0033467,Citizen Kane,Citizen Kane,0,1941,119
tt0033532,The Devil and Daniel Webster,All That Money Can Buy,0,1941,107
tt0033533,The Devil and Miss Jones,The Devil and Miss Jones,0,1941,92
